"filename", "language", "C++", "Markdown", "JSON", "CMake", "comment", "blank", "total"
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\inc\NSSolverStructDEER.h", "C++", 16, 0, 0, 0, 14, 1, 31
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\src\NSSolver.cpp", "C++", 117, 0, 0, 0, 0, 10, 127
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\src\NSSolverFNFDM.cpp", "C++", 1116, 0, 0, 0, 27, 35, 1178
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\src\NSSolverStruct.cpp", "C++", 7153, 0, 0, 0, 234, 52, 7439
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\src\NSSolverStructCMM.cpp", "C++", 661, 0, 0, 0, 36, 6, 703
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\src\NSSolverStructDEER.cpp", "C++", 466, 0, 0, 0, 18, 3, 487
"d:\code\Zaran2023\Main\inc\Application.h", "C++", 38, 0, 0, 0, 17, 3, 58
"d:\code\Zaran2023\Main\inc\FieldSimulation.h", "C++", 42, 0, 0, 0, 30, 5, 77
"d:\code\Zaran2023\Main\src\Application.cpp", "C++", 179, 0, 0, 0, 4, 9, 192
"d:\code\Zaran2023\Main\src\FieldSimulation.cpp", "C++", 262, 0, 0, 0, 37, 19, 318
"d:\code\Zaran2023\Main\src\Main.cpp", "C++", 14, 0, 0, 0, 0, 0, 14
"d:\code\Zaran2023\README.md", "Markdown", 0, 20, 0, 0, 0, 4, 24
"d:\code\Zaran2023\Test\inc\Test.h", "C++", 6, 0, 0, 0, 0, 0, 6
"d:\code\Zaran2023\Test\src\Test.cpp", "C++", 27, 0, 0, 0, 0, 1, 28
"Total", "-", 21459, 86, 39, 55, 2067, 1139, 24845
